# 谁是卧底高质量题库
# 格式：平民词,卧底词
# 设计原则：同类但有差异，能描述，适合聊天局、聚会局、线上语音局。

# 食物饮品
苹果,梨
香蕉,芒果
西瓜,哈密瓜
草莓,樱桃
葡萄,提子
橙子,柚子
桃子,杏子
菠萝,凤梨
榴莲,菠萝蜜
番茄,圣女果
土豆,红薯
黄瓜,丝瓜
白菜,生菜
香菜,芹菜
辣椒,青椒
牛肉,羊肉
鸡腿,鸡翅
龙虾,螃蟹
三文鱼,金枪鱼
火锅,麻辣烫
烧烤,烤肉
串串,关东煮
饺子,馄饨
包子,馒头
汤圆,元宵
月饼,老婆饼
煎饼,手抓饼
油条,麻花
米饭,粥
炒饭,盖饭
面条,米线
拉面,刀削面
螺蛳粉,酸辣粉
汉堡,三明治
披萨,馅饼
寿司,饭团
蛋糕,面包
饼干,薯片
冰淇淋,雪糕
巧克力,糖果
奶茶,咖啡
可乐,雪碧
豆浆,牛奶
酸奶,奶昔
果汁,汽水
啤酒,鸡尾酒
红茶,绿茶
拿铁,美式
烤鸭,烧鹅
牛排,猪排

# 日常用品
手机,平板
电脑,笔记本
键盘,鼠标
耳机,音箱
充电宝,充电器
数据线,耳机线
雨伞,雨衣
牙刷,牙膏
毛巾,浴巾
洗发水,沐浴露
香皂,洗手液
纸巾,湿巾
口红,唇膏
面膜,眼膜
香水,花露水
书包,手提包
钱包,卡包
镜子,玻璃
杯子,碗
筷子,勺子
枕头,抱枕
被子,毯子
沙发,椅子
桌子,茶几
冰箱,冷柜
空调,风扇
电视,投影仪
洗衣机,烘干机
扫地机,吸尘器
电梯,扶梯
钥匙,门禁卡
胶带,胶水
剪刀,美工刀
衣架,晾衣杆
拖鞋,凉鞋
手表,手环
相机,摄像机
台灯,手电筒
闹钟,门铃
保温杯,水壶

# 场景地点
图书馆,书店
医院,诊所
学校,培训班
超市,便利店
商场,步行街
菜市场,生鲜店
办公室,会议室
电影院,剧场
餐厅,食堂
咖啡馆,奶茶店
健身房,体育馆
游泳馆,温泉
酒店,民宿
机场,火车站
地铁站,公交站
停车场,加油站
公园,广场
海边,湖边
博物馆,美术馆
动物园,植物园
游乐园,主题公园
迪士尼,环球影城
故宫,颐和园
长城,兵马俑
黄山,泰山
西湖,洱海
北京,上海
广州,深圳
成都,重庆
杭州,苏州
南京,武汉
西安,洛阳
厦门,青岛
香港,澳门

# 交通旅行
公交车,地铁
高铁,动车
火车,长途汽车
飞机,直升机
出租车,网约车
自行车,电动车
摩托车,电摩
轮船,游艇
行李箱,背包
护照,身份证
签证,通行证
地图,导航
门票,车票
导游,领队
游客,乘客
旅拍,自拍
露营,野餐
徒步,爬山
潜水,浮潜
滑雪,滑冰
缆车,索道
海滩,沙滩
日出,日落
民宿,青旅
攻略,游记

# 职业人物
老师,教授
医生,护士
警察,保安
司机,乘客
厨师,服务员
老板,经理
同事,同学
朋友,闺蜜
邻居,房东
快递员,外卖员
演员,歌手
导演,编剧
律师,法官
记者,编辑
程序员,产品经理
设计师,摄影师
会计,出纳
导购,客服
校长,班主任
运动员,教练
主播,博主
网红,明星
老板娘,店长
实习生,应届生
研究员,工程师

